label,youtube_id,time_start,time_end,lang,duration_s,research_category,vidi_label,clip_id
flooded,_1UpniAy51E,14,16,EN,2,flood,flooded,flood__1UpniAy51E_14_16
flooded,_1UpniAy51E,20,22,EN,2,flood,flooded,flood__1UpniAy51E_20_22
flooded,AQ-nZKQFG3M,9,11,EN,2,flood,flooded,flood_AQ-nZKQFG3M_9_11
flooded,AQ-nZKQFG3M,20,22,EN,2,flood,flooded,flood_AQ-nZKQFG3M_20_22
flooded,IBQFar-bm1o,38,40,EN,2,flood,flooded,flood_IBQFar-bm1o_38_40
flooded,Nryb-sVBVQ8,62,64,EN,2,flood,flooded,flood_Nryb-sVBVQ8_62_64
flooded,Nryb-sVBVQ8,231,233,EN,2,flood,flooded,flood_Nryb-sVBVQ8_231_233
flooded,TVw6jAXQ36E,121,123,EN,2,flood,flooded,flood_TVw6jAXQ36E_121_123
flooded,9tquHgktyhM,11,14,EN,3,flood,flooded,flood_9tquHgktyhM_11_14
flooded,wv_TjYd5Da8,33,36,EN,3,flood,flooded,flood_wv_TjYd5Da8_33_36
flooded,wv_TjYd5Da8,40,43,EN,3,flood,flooded,flood_wv_TjYd5Da8_40_43
flooded,mknStAMia0Q,131,135,EN,4,flood,flooded,flood_mknStAMia0Q_131_135
flooded,5sqfUKEGx9Q,182,188,EN,6,flood,flooded,flood_5sqfUKEGx9Q_182_188
flooded,MfdlUxAls08,225,232,EN,7,flood,flooded,flood_MfdlUxAls08_225_232
flooded,9tquHgktyhM,25,37,EN,12,flood,flooded,flood_9tquHgktyhM_25_37
wildfire,5hghT1W33cY,139,143,EN,4,wildfire,wildfire,wildfire_5hghT1W33cY_139_143
wildfire,YYnIlah5UJ4,122,126,EN,4,wildfire,wildfire,wildfire_YYnIlah5UJ4_122_126
wildfire,YYnIlah5UJ4,241,245,EN,4,wildfire,wildfire,wildfire_YYnIlah5UJ4_241_245
wildfire,5hghT1W33cY,7,12,EN,5,wildfire,wildfire,wildfire_5hghT1W33cY_7_12
wildfire,UXTqTh0SrLQ,78,83,EN,5,wildfire,wildfire,wildfire_UXTqTh0SrLQ_78_83
wildfire,UXTqTh0SrLQ,112,117,EN,5,wildfire,wildfire,wildfire_UXTqTh0SrLQ_112_117
wildfire,Ve33BcHx1L0,139,144,EN,5,wildfire,wildfire,wildfire_Ve33BcHx1L0_139_144
wildfire,Ve33BcHx1L0,338,343,EN,5,wildfire,wildfire,wildfire_Ve33BcHx1L0_338_343
wildfire,7BhDwVefhP8,40,46,EN,6,wildfire,wildfire,wildfire_7BhDwVefhP8_40_46
wildfire,nFtYF63Jugc,118,124,EN,6,wildfire,wildfire,wildfire_nFtYF63Jugc_118_124
wildfire,noJuE3oP2II,67,73,EN,6,wildfire,wildfire,wildfire_noJuE3oP2II_67_73
wildfire,NY4OQwUJxlQ,47,53,EN,6,wildfire,wildfire,wildfire_NY4OQwUJxlQ_47_53
wildfire,1Z2K6lDt76M,773,780,EN,7,wildfire,wildfire,wildfire_1Z2K6lDt76M_773_780
wildfire,7BhDwVefhP8,12,19,EN,7,wildfire,wildfire,wildfire_7BhDwVefhP8_12_19
wildfire,nFtYF63Jugc,60,67,EN,7,wildfire,wildfire,wildfire_nFtYF63Jugc_60_67
earthquake,u7cEL40eBEM,179,183,EN,4,earthquake,earthquake,earthquake_u7cEL40eBEM_179_183
earthquake,nGV_JS9j4JE,351,357,EN,6,earthquake,earthquake,earthquake_nGV_JS9j4JE_351_357
earthquake,nGV_JS9j4JE,362,368,EN,6,earthquake,earthquake,earthquake_nGV_JS9j4JE_362_368
earthquake,NT_fVQ1LdQY,271,278,EN,7,earthquake,earthquake,earthquake_NT_fVQ1LdQY_271_278
earthquake,NT_fVQ1LdQY,87,95,EN,8,earthquake,earthquake,earthquake_NT_fVQ1LdQY_87_95
earthquake,u7cEL40eBEM,192,200,EN,8,earthquake,earthquake,earthquake_u7cEL40eBEM_192_200
earthquake,q5nf6Wl5TVI,94,139,EN,45,earthquake,earthquake,earthquake_q5nf6Wl5TVI_94_139
earthquake,McjIOGWmTTk,132,134,ZH,2,earthquake,earthquake,earthquake_McjIOGWmTTk_132_134
earthquake,UiNkSHTuYho,154,156,ES,2,earthquake,earthquake,earthquake_UiNkSHTuYho_154_156
earthquake,Hsszc0zeOCk,172,174,AR,2,earthquake,earthquake,earthquake_Hsszc0zeOCk_172_174
earthquake,BH8FgujV3nA,17,20,ES,3,earthquake,earthquake,earthquake_BH8FgujV3nA_17_20
earthquake,CTlQWTyje_w,128,131,AR,3,earthquake,earthquake,earthquake_CTlQWTyje_w_128_131
earthquake,IgDd3SKZgxo,560,563,ES,3,earthquake,earthquake,earthquake_IgDd3SKZgxo_560_563
earthquake,McjIOGWmTTk,143,146,ZH,3,earthquake,earthquake,earthquake_McjIOGWmTTk_143_146
earthquake,mNRbBMxKpgE,451,454,AR,3,earthquake,earthquake,earthquake_mNRbBMxKpgE_451_454
landslide,mknStAMia0Q,59,61,EN,2,landslide,landslide,landslide_mknStAMia0Q_59_61
landslide,wa9yX4xuCv4,194,196,EN,2,landslide,landslide,landslide_wa9yX4xuCv4_194_196
landslide,wa9yX4xuCv4,198,200,EN,2,landslide,landslide,landslide_wa9yX4xuCv4_198_200
landslide,5sqfUKEGx9Q,47,50,EN,3,landslide,landslide,landslide_5sqfUKEGx9Q_47_50
landslide,b039YSNHIOc,21,24,EN,3,landslide,landslide,landslide_b039YSNHIOc_21_24
landslide,5sqfUKEGx9Q,42,46,EN,4,landslide,landslide,landslide_5sqfUKEGx9Q_42_46
landslide,Sx7gpCRDizk,238,243,EN,5,landslide,landslide,landslide_Sx7gpCRDizk_238_243
landslide,nITbz8t6D68,89,95,EN,6,landslide,landslide,landslide_nITbz8t6D68_89_95
landslide,b039YSNHIOc,33,41,EN,8,landslide,landslide,landslide_b039YSNHIOc_33_41
landslide,nITbz8t6D68,65,73,EN,8,landslide,landslide,landslide_nITbz8t6D68_65_73
landslide,4jSFEslThGE,37,47,EN,10,landslide,landslide,landslide_4jSFEslThGE_37_47
landslide,VOyiuYnOa-E,208,221,EN,13,landslide,landslide,landslide_VOyiuYnOa-E_208_221
landslide,VOyiuYnOa-E,189,203,EN,14,landslide,landslide,landslide_VOyiuYnOa-E_189_203
landslide,mW9wVjGvB4Y,28,46,EN,18,landslide,landslide,landslide_mW9wVjGvB4Y_28_46
landslide,Sx7gpCRDizk,40,70,EN,30,landslide,landslide,landslide_Sx7gpCRDizk_40_70
tropical_cyclone,0PBhsPZtEnE,68,70,EN,2,cyclone,tropical_cyclone,cyclone_0PBhsPZtEnE_68_70
tropical_cyclone,2MfGvnN4zgo,83,85,EN,2,cyclone,tropical_cyclone,cyclone_2MfGvnN4zgo_83_85
tropical_cyclone,cYxN1yfg_AE,41,44,EN,3,cyclone,tropical_cyclone,cyclone_cYxN1yfg_AE_41_44
tropical_cyclone,BQW07xCjz0E,225,228,EN,3,cyclone,tropical_cyclone,cyclone_BQW07xCjz0E_225_228
tropical_cyclone,IwRDlZsq-7E,382,385,EN,3,cyclone,tropical_cyclone,cyclone_IwRDlZsq-7E_382_385
tropical_cyclone,u26W9s86dAg,19,23,EN,4,cyclone,tropical_cyclone,cyclone_u26W9s86dAg_19_23
tropical_cyclone,BQW07xCjz0E,142,146,EN,4,cyclone,tropical_cyclone,cyclone_BQW07xCjz0E_142_146
tropical_cyclone,cvp5o2d7Jh8,66,70,EN,4,cyclone,tropical_cyclone,cyclone_cvp5o2d7Jh8_66_70
tropical_cyclone,IehmKKdt8w8,23,27,EN,4,cyclone,tropical_cyclone,cyclone_IehmKKdt8w8_23_27
tropical_cyclone,IwRDlZsq-7E,162,166,EN,4,cyclone,tropical_cyclone,cyclone_IwRDlZsq-7E_162_166
