video_id,category,file_name,video_path,youtube_id,clip_start_s,clip_end_s,file_size_mb,frame_count,fps,duration_seconds,width,height,resolution,corrupted
VID-0001,flood,413ye9QDIYo_41_43.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\413ye9QDIYo_41_43.mp4,413ye9QDIYo,41,43,0.623,50,25.0,2.0,1280,720,1280x720,False
VID-0002,flood,9tquHgktyhM_11_14.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\9tquHgktyhM_11_14.mp4,9tquHgktyhM,11,14,0.551,75,25.0,3.0,1280,720,1280x720,False
VID-0003,flood,9tquHgktyhM_25_37.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\9tquHgktyhM_25_37.mp4,9tquHgktyhM,25,37,1.115,300,25.0,12.0,1280,720,1280x720,False
VID-0004,flood,_1UpniAy51E_14_16.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\_1UpniAy51E_14_16.mp4,,1UpniAy51E,14,0.653,60,29.97,2.0,1280,720,1280x720,False
VID-0005,flood,_1UpniAy51E_20_22.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\_1UpniAy51E_20_22.mp4,,1UpniAy51E,20,0.477,59,29.97,1.97,1280,720,1280x720,False
VID-0006,flood,AQ-nZKQFG3M_20_22.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\AQ-nZKQFG3M_20_22.mp4,AQ-nZKQFG3M,20,22,0.439,59,29.97,1.97,1280,720,1280x720,False
VID-0007,flood,AQ-nZKQFG3M_9_11.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\AQ-nZKQFG3M_9_11.mp4,AQ-nZKQFG3M,9,11,0.851,60,29.97,2.0,1280,720,1280x720,False
VID-0008,flood,IBQFar-bm1o_38_40.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\IBQFar-bm1o_38_40.mp4,IBQFar-bm1o,38,40,0.351,60,29.97,2.0,1280,720,1280x720,False
VID-0009,flood,MfdlUxAls08_225_232.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\MfdlUxAls08_225_232.mp4,MfdlUxAls08,225,232,3.506,175,25.0,7.0,1280,720,1280x720,False
VID-0010,flood,mknStAMia0Q_131_135.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\mknStAMia0Q_131_135.mp4,mknStAMia0Q,131,135,0.719,119,29.97,3.97,640,480,640x480,False
VID-0011,flood,Nryb-sVBVQ8_231_233.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\Nryb-sVBVQ8_231_233.mp4,Nryb-sVBVQ8,231,233,0.353,49,24.91,1.97,1280,720,1280x720,False
VID-0012,flood,Nryb-sVBVQ8_62_64.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\Nryb-sVBVQ8_62_64.mp4,Nryb-sVBVQ8,62,64,0.336,50,24.91,2.01,1280,720,1280x720,False
VID-0013,flood,TVw6jAXQ36E_121_123.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\TVw6jAXQ36E_121_123.mp4,TVw6jAXQ36E,121,123,0.516,59,29.97,1.97,1280,720,1280x720,False
VID-0014,flood,wv_TjYd5Da8_33_36.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\wv_TjYd5Da8_33_36.mp4,wv,TjYd5Da8,33,0.588,75,25.0,3.0,1280,720,1280x720,False
